State_Name,Total_Districts,Population,Households,Rural_Households,Urban_Households,Literate,Workers,Households_with_Internet,Households_with_Computer,Households_with_Telephone_Mobile_Phone,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Male,Female,Rural_HH_Percent,Urban_HH_Percent,Literacy_Rate,Internet_Penetration,Phone_Penetration,Electricity_Access,Gender_Ratio,State_Name_Std
ANDAMAN AND NICOBAR ISLANDS,3,380581,141675,89950,51725,294281,152535,3234,8194,78100,80421,41539,202871,177710,63.49,36.51,77.32,2.28,55.13,56.76,876.0,ANDAMAN AND NICOBAR ISLANDS
ANDHRA PRADESH,23,84580777,25594996,17174077,8420919,50556760,39422906,549284,1763555,13262317,19377222,7525445,42442146,42138631,67.1,32.9,59.77,2.15,51.82,75.71,993.0,ANDHRA PRADESH
ARUNACHAL PRADESH,16,1383727,375960,270546,105414,766005,587657,5128,21247,126368,171821,76445,713912,669815,71.96,28.04,55.36,1.36,33.61,45.7,938.0,ARUNACHAL PRADESH
ASSAM,27,31205576,9074503,7588998,1485505,19177977,11969690,100173,593484,3047557,2358900,1206621,15939443,15266133,83.63,16.37,61.46,1.1,33.58,25.99,958.0,ASSAM
BIHAR,38,104099452,23414674,20713342,2701332,52504553,34724987,165521,1334565,10510770,3098435,1528380,54278157,49821295,88.46,11.54,50.44,0.71,44.89,13.23,918.0,BIHAR
CHANDIGARH,1,1055450,298367,8911,289456,805438,404136,44283,78113,209783,231204,168344,580663,474787,2.99,97.01,76.31,14.84,70.31,77.49,818.0,CHANDIGARH
CHHATTISGARH,18,25545198,6799689,5164079,1635610,15379922,12180225,67820,260971,1726254,4231941,628600,12832895,12712303,75.95,24.05,60.21,1.0,25.39,62.24,991.0,CHHATTISGARH
DADRA AND NAGAR HAVELI,1,343709,108783,48221,60562,223230,157161,2013,6017,45973,69558,29101,193760,149949,44.33,55.67,64.95,1.85,42.26,63.94,774.0,DADRA AND NAGAR HAVELI
DAMAN AND DIU,2,243247,89929,19794,70135,188406,121271,1684,5598,52172,59824,32021,150301,92946,22.01,77.99,77.45,1.87,58.01,66.52,618.0,DAMAN AND DIU
GOA,2,1458545,576582,204479,372103,1165487,577248,41064,100565,287680,312761,234803,739140,719405,35.46,64.54,79.91,7.12,49.89,54.24,973.0,GOA
GUJARAT,26,60439692,17524030,9293240,8230790,41093358,24767747,381622,1077510,8399799,11013214,4667397,31491260,28948432,53.03,46.97,67.99,2.18,47.93,62.85,919.0,GUJARAT
HARYANA,21,25351462,7088008,4444365,2643643,16598988,8916508,248076,622942,3743361,4270297,2075925,13494734,11856728,62.7,37.3,65.48,3.5,52.81,60.25,879.0,HARYANA
HIMACHAL PRADESH,12,6864602,2933663,2612611,321052,5039736,3559422,41193,123338,1215027,1428783,569556,3481873,3382729,89.06,10.94,73.42,1.4,41.42,48.7,972.0,HIMACHAL PRADESH
JAMMU AND KASHMIR,22,12541302,3603632,2663460,940172,7067233,4322713,57977,168360,1400207,1715557,635867,6640662,5900640,73.91,26.09,56.35,1.61,38.86,47.61,889.0,JAMMU AND KASHMIR
JHARKHAND,24,32988134,7796033,5746528,2049505,18328069,13098274,91074,426421,2968491,2829867,720832,16930315,16057819,73.71,26.29,55.56,1.17,38.08,36.3,948.0,JHARKHAND
KARNATAKA,30,61095297,17999066,10620687,7378379,40647322,27872597,638468,1692253,9433399,11945467,4282430,30966657,30128640,59.01,40.99,66.53,3.55,52.41,66.37,973.0,KARNATAKA
KERALA,14,33406061,11217853,5857785,5360068,28135824,11619063,483609,1214644,6919494,7284706,2765913,16027412,17378649,52.22,47.78,84.22,4.31,61.68,64.94,1084.0,KERALA
