S.No,State/UT,Mar20_Total,Mar20_Operative,Mar21_Total,Mar21_Operative,Mar22_Total,Mar22_Operative,Mar23_Total,Mar23_Operative,Mar24_Total,Mar24_Operative,Jan25_Total,Jan25_Operative,Mar20_Op_Rate,Mar21_Op_Rate,Mar22_Op_Rate,Mar23_Op_Rate,Mar24_Op_Rate,Jan25_Op_Rate,CAGR_2020_25,Growth_2024_25,Growth_Mar20_Mar21,Growth_Mar21_Mar22,Growth_Mar22_Mar23,Growth_Mar23_Mar24,Growth_Mar24_Jan25,State_Name_Std,Rural_Beneficiaries,Urban_Beneficiaries,Total_Beneficiaries,Balance_Rupees,RuPay_Cards,Rural_Percent,RuPay_Penetration,Avg_Balance_Rs,Rural_Urban_Ratio,Population,Households,Literacy_Rate,Rural_HH_Percent,Internet_Penetration,Phone_Penetration,Account_Density_Per_Lakh,High_Operative_Flag,High_Growth_Flag,High_RuPay_Flag,High_Balance_Flag,Rural_Dominated_Flag,Operative_Mean,Operative_Std,Operative_Trend
1,Andaman And Nicobar Islands,49000,31000,47000,38000,46000,37000,48000,34000,61000,48000,62000,49000,63.27,80.85,80.43,70.83,78.69,79.03,4.99,1.64,-4.08,-2.13,4.35,27.08,1.64,ANDAMAN AND NICOBAR ISLANDS,43496.0,19030.0,62526.0,434400000.0,37806.0,69.56,60.46,6947.51,2.286,380581.0,141675.0,77.32,63.49,2.28,55.13,16429.09,1,0,0,1,0,75.52,7.03,1.792
2,Andhra Pradesh,10452000,8507000,11671000,10051000,11710000,9774000,13084000,9791000,14767000,11396000,15491000,11742000,81.39,86.12,83.47,74.83,77.17,75.8,8.49,4.9,11.66,0.33,11.73,12.86,4.9,ANDHRA PRADESH,8492594.0,7569509.0,16062103.0,52410700000.0,10328728.0,52.87,64.3,3263.0,1.122,84580777.0,25594996.0,59.77,67.1,2.15,51.82,18990.25,1,0,0,0,0,79.8,4.55,-1.813
3,Arunachal Pradesh,338000,268000,355000,259000,377000,327000,408000,326000,452000,373000,460000,368000,79.29,72.96,86.74,79.9,82.52,80.0,6.59,1.77,5.03,6.2,8.22,10.78,1.77,ARUNACHAL PRADESH,345540.0,125629.0,471169.0,2808500000.0,316808.0,73.34,67.24,5960.71,2.75,1383727.0,375960.0,55.36,71.96,1.36,33.61,34050.72,1,0,0,1,1,80.24,4.51,0.725
4,Assam,16356000,14499000,18616000,16424000,20340000,18727000,22155000,19788000,23617000,19658000,24705000,19976000,88.65,88.23,92.07,89.32,83.24,80.86,8.91,4.61,13.82,9.26,8.92,6.6,4.61,ASSAM,19581277.0,5397305.0,24978582.0,66323800000.0,14759818.0,78.39,59.09,2655.23,3.628,31205576.0,9074503.0,61.46,83.63,1.1,33.58,80045.25,1,0,0,0,1,87.06,4.17,-1.619
5,Bihar,43904000,38233000,48392000,42605000,51015000,44998000,54672000,45932000,58384000,48164000,62202000,49752000,87.08,88.04,88.21,84.01,82.5,79.98,7.48,6.54,10.22,5.42,7.17,6.79,6.54,BIHAR,46738141.0,17800278.0,64538419.0,251029900000.00003,46698178.0,72.42,72.36,3889.62,2.626,104099452.0,23414674.0,50.44,88.46,0.71,44.89,61996.89,1,0,1,0,1,84.97,3.36,-1.609
6,Chandigarh,254000,192000,265000,208000,282000,215000,306000,227000,327000,238000,335000,235000,75.59,78.49,76.24,74.18,72.78,70.15,5.9,2.45,4.33,6.42,8.51,6.86,2.45,CHANDIGARH,47356.0,289149.0,336505.0,1970200000.0,215309.0,14.07,63.98,5854.89,0.164,1055450.0,298367.0,76.31,2.99,14.84,70.31,31882.61,0,0,0,1,0,74.57,2.9,-1.325
7,Chhattisgarh,14764000,12172000,15337000,13489000,15963000,13868000,16707000,13607000,17510000,14356000,18200000,15062000,82.44,87.95,86.88,81.44,81.99,82.76,4.43,3.94,3.88,4.08,4.66,4.81,3.94,CHHATTISGARH,12878618.0,5446745.0,18325363.0,88904100000.0,11137330.0,70.28,60.78,4851.42,2.364,25545198.0,6799689.0,60.21,75.95,1.0,25.39,71737.02,1,0,0,1,1,83.91,2.77,-0.621
8,Daman & Diu,185000,138000,206000,168000,212000,166000,223000,148000,231000,152000,239000,152000,74.59,81.55,78.3,66.37,65.8,63.6,5.45,3.46,11.35,2.91,5.19,3.59,3.46,DAMAN & DIU,,,,,,,,,,,,,,,,,0,0,0,0,0,71.7,7.45,-3.261
9,Delhi,4588000,3738000,4816000,3964000,5334000,4299000,5798000,4474000,6298000,4676000,6647000,4844000,81.47,82.31,80.6,77.16,74.25,72.87,7.98,5.54,4.97,10.76,8.7,8.62,5.54,DELHI,637066.0,6167837.0,6804903.0,33279100000.0,5240021.0,9.36,77.0,4890.46,0.103,,,,,,,,0,0,1,1,0,78.11,3.96,-2.018
10,Goa,168000,113000,170000,122000,170000,114000,192000,111000,206000,122000,215000,129000,67.26,71.76,67.06,57.81,59.22,60.0,5.24,4.37,1.19,0.0,12.94,7.29,4.37,GOA,180364.0,38624.0,218988.0,1960300000.0,154817.0,82.36,70.7,8951.63,4.67,1458545.0,576582.0,79.91,35.46,7.12,49.89,15014.14,0,0,1,1,1,63.85,5.61,-2.376
